sex;sex_preferred;age|10-YEAR;1;2;3;4|4
0;0;0;0;0;0;0
0;0;1;0;0;0;0
0;0;2;0.1;0.2;0.3;0.4
0;0;3;0.1;0.2;0.3;0.4
0;0;4;0.05;0.1;0.15;0.2
0;0;5;0.025;0.05;0.075;0.1
0;1;0;0;0;0;0
0;1;1;0;0;0;0
0;1;2;0.05;0.1;0.15;0.2
0;1;3;0.05;0.1;0.15;0.2
0;1;4;0.025;0.05;0.075;0.1
0;1;5;0.0125;0.025;0.0375;0.05
1;0;0;0;0;0;0
1;0;1;0;0;0;0
1;0;2;0.05;0.1;0.15;0.2
1;0;3;0.05;0.1;0.15;0.2
1;0;4;0.025;0.05;0.075;0.1
1;0;5;0.0125;0.025;0.0375;0.05
1;1;0;0;0;0;0
1;1;1;0;0;0;0
1;1;2;0.05;0.1;0.15;0.2
1;1;3;0.05;0.1;0.15;0.2
1;1;4;0.025;0.05;0.075;0.1
1;1;5;0.0125;0.025;0.0375;0.05
